,Activation,Optimizer,Type,Rate,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
50,sigmoid,Adamax,"ReduceLR, initial LR = 0.002",0.5,std,97.532,97.55400000000002,97.63,97.65,122
54,sigmoid,Adamax,Fixed LR,0.002,std,97.518,97.594,97.63,97.75,194
49,sigmoid,Adamax,"ReduceLR, initial LR = 0.002",0.35,std,97.482,97.50400000000002,97.56,97.64,102
60,sigmoid,sgd,Fixed LR,0.1,std,97.454,97.47200000000001,97.66,97.68,161
46,selu,sgd,Fixed LR,0.002,std,97.43599999999999,97.446,97.53,97.55,197
48,sigmoid,Adamax,"ReduceLR, initial LR = 0.002",0.2,std,97.402,97.41800000000002,97.48,97.58,85
51,sigmoid,Adamax,"LR Decay, initial LR = 0.002",0.0001,std,97.39599999999999,97.424,97.48,97.56,198
53,sigmoid,Adamax,Fixed LR,0.01,std,97.35,97.44399999999999,97.46000000000001,97.68,56
43,selu,sgd,"LR Decay, initial LR = 0.01",0.0001,std,97.272,97.284,97.4,97.44,198
13,selu,sgd,Fixed LR,0.01,normd,97.198,97.198,97.32,97.32,199
20,sigmoid,Adamax,Fixed LR,0.1,normd,97.196,97.256,97.4,97.55,142
10,selu,sgd,"ReduceLR, initial LR = 0.01",0.5,normd,97.13000000000001,97.15,97.18,97.24000000000001,196
9,selu,sgd,"ReduceLR, initial LR = 0.01",0.35,normd,97.122,97.14600000000002,97.42,97.42,192
19,sigmoid,Adamax,"LR Decay, initial LR = 0.002",0.0001,normd,97.08600000000001,97.096,97.23,97.27,190
8,selu,sgd,"ReduceLR, initial LR = 0.01",0.2,normd,97.07000000000001,97.072,97.17,97.2,194
61,sigmoid,sgd,Fixed LR,0.01,std,96.87800000000001,96.88399999999999,96.92,96.93,194
57,sigmoid,sgd,"ReduceLR, initial LR = 0.01",0.35,std,96.87599999999999,96.87599999999999,96.99,97.00999999999999,199
47,selu,sgd,Fixed LR,0.001,std,96.81200000000001,96.834,97.08,97.11999999999999,198
58,sigmoid,sgd,"ReduceLR, initial LR = 0.01",0.5,std,96.73200000000001,96.73200000000001,96.9,96.91,199
56,sigmoid,sgd,"ReduceLR, initial LR = 0.01",0.2,std,96.646,96.646,96.76,96.76,199
52,sigmoid,Adamax,Fixed LR,0.1,std,96.2,96.20599999999999,96.81,96.81,170
26,sigmoid,sgd,"ReduceLR, initial LR = 0.01",0.5,normd,95.338,95.338,95.47,95.47,199
4,selu,Adamax,Fixed LR,0.1,normd,95.32000000000001,95.526,96.43,96.75,194
29,sigmoid,sgd,Fixed LR,0.01,normd,95.23400000000001,95.23400000000001,95.4,95.4,199
24,sigmoid,sgd,"ReduceLR, initial LR = 0.01",0.2,normd,95.21799999999999,95.21799999999999,95.35,95.36,199
25,sigmoid,sgd,"ReduceLR, initial LR = 0.01",0.35,normd,95.19,95.19,95.35,95.4,199
14,selu,sgd,Fixed LR,0.002,normd,95.06200000000001,95.06200000000001,95.24000000000001,95.24000000000001,199
11,selu,sgd,"LR Decay, initial LR = 0.01",0.0001,normd,94.69999999999999,94.69999999999999,94.78999999999999,94.78999999999999,199
62,sigmoid,sgd,Fixed LR,0.002,std,94.002,94.002,94.35,94.38,199
15,selu,sgd,Fixed LR,0.001,normd,93.664,93.664,93.83,93.87,199
59,sigmoid,sgd,"LR Decay, initial LR = 0.01",0.0001,std,93.558,93.558,93.83,93.83,199
63,sigmoid,sgd,Fixed LR,0.001,std,91.90400000000001,91.90400000000001,92.21000000000001,92.25,199
30,sigmoid,sgd,Fixed LR,0.002,normd,90.78,90.78,90.99000000000001,90.99000000000001,199
27,sigmoid,sgd,"LR Decay, initial LR = 0.01",0.0001,normd,89.88,89.88,90.31,90.31,199
31,sigmoid,sgd,Fixed LR,0.001,normd,87.43,87.43,88.11,88.11,199
36,selu,Adamax,Fixed LR,0.1,std,58.78,58.89,83.78999999999999,84.11,195
